Table 6,,,,,,,,,,,,,
OHIO,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,, ,,,,,,,,
"by City, 2016",,,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition1)","Rape
(legacy
definition2)",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3,
Ada,"5,782",1,0,0,,0,1,38,7,27,4,0,
Akron,"197,257","1,216",34,212,,415,555,"8,646","2,483","5,483",680,94,
Albany,918,0,0,0,,0,0,20,6,13,1,0,
Alliance4,"22,012",99,0,13,,11,75,770,149,602,19,8,
Amberley Village,"3,592",1,0,,0,1,0,43,0,42,1,0,
Amelia,"4,957",0,0,0,,0,0,25,5,20,0,0,
American Township,"12,254",6,0,0,,3,3,167,10,152,5,0,
Amherst,"12,156",7,0,1,,3,3,188,21,164,3,0,
Archbold,"4,342",4,0,0,,0,4,58,12,46,0,1,
Ashland,"20,278",24,2,14,,1,7,405,73,325,7,1,
Ashville,"4,207",1,0,1,,0,0,67,15,49,3,0,
Athens,"25,203",27,0,6,,8,13,462,47,404,11,1,
Aurora,"15,897",11,0,2,,5,4,168,9,157,2,0,
Austintown,"35,680",52,0,9,,13,30,818,114,674,30,0,
Baltimore,"2,970",1,0,0,,0,1,25,7,16,2,0,
Barberton,"26,172",75,0,17,,10,48,799,145,614,40,3,
Barnesville,"4,112",1,0,0,,0,1,14,6,8,0,0,
Batavia,"1,654",6,0,1,,2,3,55,11,42,2,2,
"Bath Township, Summit County","9,896",4,0,1,,0,3,156,13,141,2,0,
Bazetta Township,"5,683",2,0,0,,0,2,207,14,190,3,0,
Beavercreek,"46,490",32,0,14,,13,5,"1,065",64,969,32,2,
Beaver Township,"6,492",4,0,0,,0,4,95,31,56,8,0,
Bedford,"12,678",30,0,,1,18,11,255,29,187,39,0,
Bedford Heights,"10,594",28,0,,4,9,15,290,71,176,43,0,
Bellaire,"4,172",9,0,0,,1,8,46,5,38,3,1,
Bellbrook,"7,074",3,0,2,,0,1,57,4,51,2,0,
Bellefontaine,"13,073",23,0,8,,2,13,404,59,342,3,1,
Bellville,"1,863",1,0,1,,0,0,29,3,25,1,0,
Belpre,"6,484",11,0,3,,2,6,107,13,85,9,1,
Berea,"18,805",11,0,2,,5,4,181,19,154,8,1,
Bethel,"2,782",6,0,1,,0,5,95,9,84,2,0,
